T32,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2000,Percentage of individuals using the internet,5.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
1,"Total, all countries or areas",2005,Percentage of individuals using the internet,15.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
1,"Total, all countries or areas",2010,Percentage of individuals using the internet,28.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
1,"Total, all countries or areas",2015,Percentage of individuals using the internet,40.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
1,"Total, all countries or areas",2018,Percentage of individuals using the internet,49.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
1,"Total, all countries or areas",2019,Percentage of individuals using the internet,53.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
1,"Total, all countries or areas",2020,Percentage of individuals using the internet,59.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
15,Northern Africa,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
15,Northern Africa,2005,Percentage of individuals using the internet,9.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
15,Northern Africa,2010,Percentage of individuals using the internet,22.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
15,Northern Africa,2015,Percentage of individuals using the internet,41.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
15,Northern Africa,2018,Percentage of individuals using the internet,46.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
15,Northern Africa,2019,Percentage of individuals using the internet,54.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
15,Northern Africa,2020,Percentage of individuals using the internet,64.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
202,Sub-Saharan Africa,2000,Percentage of individuals using the internet,0.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
202,Sub-Saharan Africa,2005,Percentage of individuals using the internet,2.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
202,Sub-Saharan Africa,2010,Percentage of individuals using the internet,6.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
202,Sub-Saharan Africa,2015,Percentage of individuals using the internet,16.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
202,Sub-Saharan Africa,2018,Percentage of individuals using the internet,24.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
202,Sub-Saharan Africa,2019,Percentage of individuals using the internet,26.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
202,Sub-Saharan Africa,2020,Percentage of individuals using the internet,28.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
14,Eastern Africa,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
14,Eastern Africa,2005,Percentage of individuals using the internet,1.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
14,Eastern Africa,2010,Percentage of individuals using the internet,3.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
14,Eastern Africa,2015,Percentage of individuals using the internet,10.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
14,Eastern Africa,2018,Percentage of individuals using the internet,16.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
14,Eastern Africa,2019,Percentage of individuals using the internet,18.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
14,Eastern Africa,2020,Percentage of individuals using the internet,20.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
17,Middle Africa,2000,Percentage of individuals using the internet,0.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
17,Middle Africa,2005,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
17,Middle Africa,2010,Percentage of individuals using the internet,2.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
17,Middle Africa,2015,Percentage of individuals using the internet,10.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
17,Middle Africa,2018,Percentage of individuals using the internet,17.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
17,Middle Africa,2019,Percentage of individuals using the internet,19.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
17,Middle Africa,2020,Percentage of individuals using the internet,21.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
18,Southern Africa,2000,Percentage of individuals using the internet,4.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
18,Southern Africa,2005,Percentage of individuals using the internet,7.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
18,Southern Africa,2010,Percentage of individuals using the internet,22.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
18,Southern Africa,2015,Percentage of individuals using the internet,49.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
18,Southern Africa,2018,Percentage of individuals using the internet,60.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
18,Southern Africa,2019,Percentage of individuals using the internet,65.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
18,Southern Africa,2020,Percentage of individuals using the internet,67.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
11,Western Africa,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
11,Western Africa,2005,Percentage of individuals using the internet,3.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
11,Western Africa,2010,Percentage of individuals using the internet,7.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
11,Western Africa,2015,Percentage of individuals using the internet,19.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
11,Western Africa,2018,Percentage of individuals using the internet,29.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
11,Western Africa,2019,Percentage of individuals using the internet,31.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
11,Western Africa,2020,Percentage of individuals using the internet,33.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
21,Northern America,2000,Percentage of individuals using the internet,51.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
21,Northern America,2005,Percentage of individuals using the internet,72.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
21,Northern America,2010,Percentage of individuals using the internet,72.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
21,Northern America,2015,Percentage of individuals using the internet,76.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
21,Northern America,2018,Percentage of individuals using the internet,89.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
21,Northern America,2019,Percentage of individuals using the internet,90.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
21,Northern America,2020,Percentage of individuals using the internet,91.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
419,Latin America & the Caribbean,2000,Percentage of individuals using the internet,5.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
419,Latin America & the Caribbean,2005,Percentage of individuals using the internet,17.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
419,Latin America & the Caribbean,2010,Percentage of individuals using the internet,34.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
419,Latin America & the Caribbean,2015,Percentage of individuals using the internet,54.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
419,Latin America & the Caribbean,2018,Percentage of individuals using the internet,65.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
419,Latin America & the Caribbean,2019,Percentage of individuals using the internet,68.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
419,Latin America & the Caribbean,2020,Percentage of individuals using the internet,73.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
29,Caribbean,2000,Percentage of individuals using the internet,3.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
29,Caribbean,2005,Percentage of individuals using the internet,13.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
29,Caribbean,2010,Percentage of individuals using the internet,23.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
29,Caribbean,2015,Percentage of individuals using the internet,40.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
29,Caribbean,2018,Percentage of individuals using the internet,59.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
29,Caribbean,2019,Percentage of individuals using the internet,61.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
29,Caribbean,2020,Percentage of individuals using the internet,63.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
420,Latin America,2000,Percentage of individuals using the internet,4.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
420,Latin America,2005,Percentage of individuals using the internet,16.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
