T26,Population employed in research and development (R&D),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
8,Albania,2008,R & D personnel: Total (number in full-time equivalent),779,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
8,Albania,2008,R & D personnel: Researchers - total (number in full-time equivalent),467,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
8,Albania,2008,R & D personnel: Researchers - women (number in full-time equivalent),207,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
8,Albania,2008,R & D personnel: Technicians - total (number in full-time equivalent),120,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
8,Albania,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),192,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2005,R & D personnel: Total (number in full-time equivalent),"7,331",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2005,R & D personnel: Researchers - total (number in full-time equivalent),"5,593",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2005,R & D personnel: Researchers - women (number in full-time equivalent),"2,043",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2005,R & D personnel: Technicians - total (number in full-time equivalent),"1,134",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),604,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Total (number in full-time equivalent),"38,046",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Researchers - total (number in full-time equivalent),"33,912",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Researchers - women (number in full-time equivalent),"15,841",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Technicians - total (number in full-time equivalent),"1,733",Break in the time series.;Excluding Higher Education.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Technicians - women (number in full-time equivalent),646,Excluding Higher Education.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,401",Break in the time series.;Excluding Higher Education.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
12,Algeria,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),973,Excluding Higher Education.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
16,American Samoa,2005,R & D personnel: Total (number in full-time equivalent),6,Break in the time series.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
16,American Samoa,2005,R & D personnel: Researchers - total (number in full-time equivalent),6,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Total (number in full-time equivalent),"2,038",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Researchers - total (number in full-time equivalent),"1,150",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Researchers - women (number in full-time equivalent),320,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Technicians - total (number in full-time equivalent),858,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Technicians - women (number in full-time equivalent),242,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),30,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2016,R & D personnel: Total (number in full-time equivalent),828,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2016,R & D personnel: Researchers - total (number in full-time equivalent),543,Break in the time series.;Partial data.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2016,R & D personnel: Researchers - women (number in full-time equivalent),157,Break in the time series.;Partial data.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2016,R & D personnel: Technicians - total (number in full-time equivalent),150,Break in the time series.;Partial data.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2016,R & D personnel: Technicians - women (number in full-time equivalent),83,Break in the time series.;Partial data.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
24,Angola,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),135,Break in the time series.;Partial data.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
