DEMO_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
NY_GDP_MKTP_CD,GDP (current US$),AUS,Australia,2016,2016,1.20669E+12,,
NY_GDP_MKTP_CD,GDP (current US$),AUS,Australia,2017,2017,1.32688E+12,,
NY_GDP_MKTP_CD,GDP (current US$),AUS,Australia,2018,2018,1.42853E+12,,
NY_GDP_MKTP_CD,GDP (current US$),AUS,Australia,2019,2019,1.39195E+12,,
NY_GDP_MKTP_CD,GDP (current US$),AUS,Australia,2020,2020,1.32784E+12,,
NY_GDP_MKTP_CD,GDP (current US$),AUS,Australia,2021,2021,1.54266E+12,,
NY_GDP_MKTP_CD,GDP (current US$),AUT,Austria,2016,2016,3.95837E+11,,
NY_GDP_MKTP_CD,GDP (current US$),AUT,Austria,2017,2017,4.17261E+11,,
NY_GDP_MKTP_CD,GDP (current US$),AUT,Austria,2018,2018,4.55168E+11,,
NY_GDP_MKTP_CD,GDP (current US$),AUT,Austria,2019,2019,4.45012E+11,,
NY_GDP_MKTP_CD,GDP (current US$),AUT,Austria,2020,2020,4.33258E+11,,
NY_GDP_MKTP_CD,GDP (current US$),AUT,Austria,2021,2021,4.77082E+11,,
NY_GDP_MKTP_CD,GDP (current US$),BEL,Belgium,2016,2016,4.76063E+11,,
NY_GDP_MKTP_CD,GDP (current US$),BEL,Belgium,2017,2017,5.02765E+11,,
NY_GDP_MKTP_CD,GDP (current US$),BEL,Belgium,2018,2018,5.43347E+11,,
NY_GDP_MKTP_CD,GDP (current US$),BEL,Belgium,2019,2019,5.35376E+11,,
NY_GDP_MKTP_CD,GDP (current US$),BEL,Belgium,2020,2020,5.21677E+11,,
NY_GDP_MKTP_CD,GDP (current US$),BEL,Belgium,2021,2021,5.99879E+11,,
NY_GDP_MKTP_CD,GDP (current US$),CAN,Canada,2016,2016,1.52799E+12,,
NY_GDP_MKTP_CD,GDP (current US$),CAN,Canada,2017,2017,1.64927E+12,,
NY_GDP_MKTP_CD,GDP (current US$),CAN,Canada,2018,2018,1.72533E+12,,
NY_GDP_MKTP_CD,GDP (current US$),CAN,Canada,2019,2019,1.74202E+12,,
NY_GDP_MKTP_CD,GDP (current US$),CAN,Canada,2020,2020,1.64542E+12,,
NY_GDP_MKTP_CD,GDP (current US$),CAN,Canada,2021,2021,1.99076E+12,,
NY_GDP_MKTP_CD,GDP (current US$),CZE,Czechia,2016,2016,1.96272E+11,,
NY_GDP_MKTP_CD,GDP (current US$),CZE,Czechia,2017,2017,2.18629E+11,,
NY_GDP_MKTP_CD,GDP (current US$),CZE,Czechia,2018,2018,2.4895E+11,,
