NATMON_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",UKR,Ukraine,2016,2016,918.52605,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",UKR,Ukraine,2017,2017,1316.29536,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",UKR,Ukraine,2018,2018,1595.33465,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",UKR,Ukraine,2019,2019,1857.26113,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",UKR,Ukraine,2020,2020,1840.77852,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),PER,Peru,2016,2016,1.32854,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),PER,Peru,2017,2017,1.31644,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),PER,Peru,2018,2018,1.25846,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),PER,Peru,2019,2019,1.24806,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),PER,Peru,2020,2020,1.42265,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),PER,Peru,2021,2021,1.36917,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),MNG,Mongolia,2016,2016,1.49011,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),MNG,Mongolia,2017,2017,1.31086,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),MNG,Mongolia,2018,2018,3.22372,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),MNG,Mongolia,2019,2019,2.67429,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),MNG,Mongolia,2020,2020,2.17958,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",NZL,New Zealand,2016,2016,2074.03308,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",NZL,New Zealand,2017,2017,2125.07306,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",NZL,New Zealand,2018,2018,2124.42999,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",NZL,New Zealand,2019,2019,1849.84526,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",DEU,Germany,2016,2016,21696.09355,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",DEU,Germany,2017,2017,23252.7925,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",DEU,Germany,2018,2018,25737.13211,,
X_US_1_FSGOV,"Government expenditure on primary education, US$ (millions)",DEU,Germany,2019,2019,26315.071,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",ESP,Spain,2016,2016,9114.59997,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",ESP,Spain,2017,2017,9605.33449,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",ESP,Spain,2018,2018,10290.63447,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",ESP,Spain,2019,2019,10403.30908,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),SGP,Singapore,2016,2016,0.66093,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),SGP,Singapore,2017,2017,0.73848,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),SGP,Singapore,2018,2018,0.72507,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),SGP,Singapore,2019,2019,0.68835,,
XGDP_1_FSGOV,Government expenditure on primary education as a percentage of GDP (%),SGP,Singapore,2020,2020,0.68529,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),MEX,Mexico,2016,2016,0.76881,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),MEX,Mexico,2017,2017,0.7065,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),MEX,Mexico,2018,2018,0.6331,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),MEX,Mexico,2019,2019,0.6892,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",AUT,Austria,2016,2016,4735.9174,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",AUT,Austria,2017,2017,4902.06158,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",AUT,Austria,2018,2018,5004.75663,,
X_US_2_FSGOV,"Government expenditure on lower secondary education, US$ (millions)",AUT,Austria,2019,2019,4776.97292,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),SVK,Slovakia,2016,2016,0.79077,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),SVK,Slovakia,2017,2017,0.80987,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),SVK,Slovakia,2018,2018,0.79129,,
XGDP_3_FSGOV,Government expenditure on upper secondary education as a percentage of GDP (%),SVK,Slovakia,2019,2019,0.83663,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",BLZ,Belize,2016,2016,17.40605,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",BLZ,Belize,2017,2017,17.61215,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",BLZ,Belize,2018,2018,18.77764,,
X_US_3_FSGOV,"Government expenditure on upper secondary education, US$ (millions)",BLZ,Belize,2019,2019,17.25143,,
