Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2012 [YR2012],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG,0,5.454545455,11,13.5,16.8,17.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB,0,49.4,59.6,62.4,65.4,68.55039112
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,0,18.2,42.94552688,47.69105515,49.03846808,57.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM,0,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND,0,82.7,89.7,91.56746703,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO,0,7.7,23.2,26,29,32.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG,0,58,73,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,0,55.8,70.96898082,74.29490687,77.7,79.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM,0,37.5,64.34602977,64.74488433,68.24505226,66.54394969
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW,0,74,93.54245387,97.17,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS,0.585094712,79,86.54,86.54504885,87.6,88.6
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT,0.130369377,80.02999392,84.32374257,87.93558659,87.47913723,87.75220479
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE,0,54.2,78.2,79,79.79999549,81.09999907
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Bahamas, The",BHS,0,71.74820281,80,80.6,83,85
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bahrain,BHR,0,88,97.9999807,95.87813575,98.64467258,99.70149256
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bangladesh,BGD,0,5,18.1,19.8,21.8,23.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Barbados,BRB,0,71.2,79.54939789,81.76077839,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belarus,BLR,0,46.91,71.11304576,74.43644541,79.12988669,82.78915209
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belgium,BEL,0.00100674,80.71999055,86.51647666,87.67968082,88.647343,90.27542981
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belize,BLZ,0,31,44.57574032,47.0826258,49.8,50.8
Individuals using the Internet (% of population),IT.NET.USER.ZS,Benin,BEN,0,4.5,14.5,18.7,19,22.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bermuda,BMU,0,91.29930452,98,98.37,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bhutan,BTN,0,15.6,41.77264453,46.2,49.5,53.5
